File: ../datasets/Test_2.txt
Num vars: 1 Num gens: 100
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 96272.982, 873306.346, 190817.712, 0.000%
2, 4541.880, 376894.633, 179365.305, 40.196%
3, 162.125, 4653242.765, 389693.575, 38.462%
4, 162.125, 4693722.526, 161131.109, 29.412%
5, 162.125, 2398798.817, 152588.244, 26.667%
6, 72.677, 277750153.821, 940474.720, 39.091%
7, 37.306, 2884270498.607, 8383419.638, 32.955%
8, 37.306, 506773682.581, 1585426.608, 29.592%
9, 37.306, 726606.375, 130399.574, 30.000%
10, 37.306, 5191557.198, 161889.321, 33.036%
11, 37.306, 488673.830, 140005.663, 39.130%
12, 15.624, 373594.412, 135578.226, 37.000%
13, 15.624, 6887776.150, 176586.061, 52.439%
14, 15.624, 4388137.657, 140220.795, 22.807%
15, 15.624, 559359707.130, 1740139.060, 45.238%
16, 15.624, 881024.478, 127675.365, 35.000%
17, 15.624, 352014.160, 136534.368, 47.917%
18, 15.624, 1180190.435, 129890.307, 43.636%
19, 15.624, 46679556.358, 271889.749, 32.787%
20, 15.624, 2241759.987, 137665.983, 46.296%
21, 15.624, 4283329.000, 138264.734, 39.655%
22, 15.624, 4623119.829, 143544.996, 40.741%
23, 15.624, 11199830.054, 170977.243, 50.962%
24, 15.624, 30813772.484, 228577.866, 38.596%
25, 15.624, 1674248.482, 142742.681, 58.511%
26, 15.624, 9687441.919, 162458.532, 43.860%
27, 15.624, 4156238.377, 157299.649, 45.556%
28, 1.772, 239654.045, 130708.642, 48.113%
29, 0.000, 3540908.138, 142021.449, 37.736%
