File: ../datasets/yacht_hydrodynamics.txt
Num vars: 6 Num gens: 100
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 2358.795, 354580.482, 7163.809, 0.000%
2, 2358.795, 54025231.180, 175359.239, 43.182%
3, 2156.435, 8389397.311, 39902.085, 46.809%
4, 2068.491, 368786.364, 5434.827, 58.333%
5, 2068.491, 284516.289, 4983.657, 40.164%
6, 2007.016, 5789788.223, 23857.095, 58.955%
7, 1901.373, 150595.249, 4884.230, 49.167%
8, 1821.499, 11106097.386, 39689.710, 48.980%
9, 1793.171, 3588479.569, 15310.725, 44.643%
10, 1617.774, 29400766.574, 99828.946, 50.943%
11, 1578.263, 5190421.168, 25646.402, 43.220%
12, 1308.179, 395852.730, 7988.061, 43.750%
13, 1176.050, 701133.411, 8793.549, 42.857%
14, 1157.790, 319897.158, 6865.442, 42.857%
15, 1048.907, 930550.188, 7721.736, 44.231%
16, 1048.907, 1273557.111, 13253.548, 50.000%
17, 989.286, 613485.964, 8962.158, 44.792%
18, 985.727, 301183.013, 5148.495, 50.806%
19, 927.533, 39005224.554, 116953.865, 39.167%
20, 927.533, 474293.036, 6467.259, 50.833%
21, 927.445, 1608997.195, 9435.657, 50.847%
22, 927.445, 11612821.687, 38030.533, 61.765%
23, 808.543, 167667.560, 3903.630, 44.167%
24, 808.543, 366258.466, 6335.068, 49.107%
25, 775.946, 959739.079, 7418.874, 47.872%
26, 775.946, 327724.302, 4854.174, 50.000%
27, 775.946, 30102486.816, 93270.958, 44.068%
28, 771.383, 4551085.776, 25392.625, 57.895%
29, 771.383, 103504894.868, 335024.347, 55.769%
30, 771.383, 363562.744, 5750.331, 40.625%
31, 771.383, 18695579.919, 60425.029, 65.625%
32, 771.383, 1458063.754, 11292.470, 63.265%
33, 771.383, 58932154.824, 353062.444, 55.660%
34, 771.383, 891153.988, 9867.238, 53.061%
35, 771.383, 1692635.135, 15544.667, 55.882%
36, 771.383, 4467838.236, 19979.356, 61.029%
37, 771.383, 54600737.895, 160648.927, 66.949%
38, 771.383, 1304377.868, 7793.175, 66.379%
39, 763.617, 819103.492, 10328.980, 57.843%
40, 763.617, 74491318.243, 288102.626, 55.208%
41, 763.617, 1731148.012, 11231.284, 50.926%
42, 740.419, 2322430.239, 14583.314, 53.390%
43, 740.419, 3859397.776, 20091.476, 50.000%
44, 707.372, 1733776.026, 12591.875, 35.714%
45, 707.372, 804522.162, 6542.387, 55.455%
46, 707.372, 3754445.629, 15784.634, 45.690%
47, 707.372, 1124434.203, 10802.188, 60.577%
48, 707.372, 2338354.633, 12256.881, 58.621%
49, 612.775, 1697812.948, 13814.915, 65.686%
50, 612.775, 241269.840, 5648.718, 58.654%
51, 612.775, 1120947.069, 8709.237, 36.458%
52, 612.775, 5466592.155, 21765.321, 44.898%
53, 612.775, 1233196.512, 11112.317, 57.407%
54, 612.502, 1405377.347, 9889.807, 62.500%
55, 612.502, 6378617.589, 25435.378, 54.651%
56, 612.502, 377457549.289, 1092291.875, 48.113%
57, 612.502, 2005046.167, 15805.493, 56.481%
58, 612.502, 2092741.842, 12213.406, 51.695%
59, 612.502, 1230591.070, 8097.009, 57.018%
60, 612.502, 340909.018, 7942.795, 57.692%
61, 612.502, 1403428.542, 12004.990, 56.481%
62, 612.502, 2002779.070, 18901.344, 52.542%
63, 612.502, 1167114.384, 8104.983, 54.000%
64, 612.502, 8141657.854, 28240.738, 63.462%
65, 612.502, 335513580.972, 1069368.324, 63.000%
66, 612.502, 2459988.714, 16790.546, 50.735%
67, 612.502, 7791473.469, 34929.191, 51.064%
68, 612.502, 2138495.336, 12648.320, 55.435%
69, 612.502, 16375451.139, 54131.161, 59.184%
70, 612.502, 696908.693, 7661.620, 47.826%
71, 612.502, 2355506.770, 11583.315, 64.000%
72, 612.502, 2197483.525, 10471.825, 62.245%
73, 612.502, 366153.087, 5414.195, 61.321%
74, 612.502, 315552.467, 4669.672, 64.583%
75, 612.502, 402996.097, 4898.497, 57.031%
76, 612.502, 141739490.477, 507589.620, 58.696%
77, 612.502, 25161641.679, 80816.860, 57.843%
78, 612.502, 15210130.370, 65959.254, 57.778%
79, 612.502, 190149.227, 5101.409, 57.377%
80, 612.502, 360638.512, 5451.218, 58.140%
81, 612.502, 6681547.730, 23358.621, 62.222%
82, 612.502, 1676280.148, 11037.379, 65.556%
83, 612.502, 61478968.109, 183944.473, 56.557%
84, 612.502, 4823756.774, 19638.961, 55.645%
85, 612.502, 707207.806, 8800.777, 63.559%
86, 612.502, 149653.401, 4063.681, 57.692%
87, 612.502, 1076810.439, 11079.023, 55.660%
88, 612.502, 1035161.639, 9709.777, 57.627%
89, 612.502, 78686448418007696.000, 224818424093641.656, 51.923%
90, 612.502, 19921861.588, 69151.005, 65.476%
91, 612.502, 761129.553, 7163.199, 53.448%
92, 612.502, 18730527.315, 58802.437, 50.000%
93, 612.502, 5384351.100, 54777.473, 60.577%
94, 612.502, 2084741.526, 11737.422, 55.814%
95, 612.502, 2824706.880, 17734.685, 54.444%
96, 612.502, 17931243.480, 67995.679, 52.941%
97, 612.502, 9099749.420, 43749.086, 60.204%
98, 612.502, 5486786.655, 26212.612, 63.542%
99, 612.502, 372108.933, 6111.181, 61.364%
100, 612.502, 1733004.335, 12682.953, 47.826%
