File: ../datasets/SR_circle.txt
Num vars: 1 Num gens: 100
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 31.789, 3360014.605, 11147.496, 0.000%
2, 31.789, 50256.257, 658.515, 46.154%
3, 31.789, 145232681.239, 429358.628, 52.632%
4, 31.789, 348709.951, 1471.225, 71.875%
5, 31.789, 83356.952, 573.381, 68.182%
6, 31.789, 764485.385, 2719.148, 92.308%
7, 31.789, 2027811.306, 7672.913, 78.261%
8, 31.789, 130867.716, 984.995, 85.714%
9, 31.789, 3213916.169, 10121.347, 88.235%
10, 31.789, 4862929.616, 16157.044, 86.842%
11, 31.789, 205937.495, 969.905, 87.500%
12, 31.789, 472048.990, 3164.561, 69.048%
13, 31.789, 1316721.912, 4300.486, 71.053%
14, 31.789, 42190898813.306, 120546492.925, 76.087%
15, 31.789, 42028.890, 403.861, 73.913%
16, 31.789, 86482.684, 736.316, 85.714%
17, 31.789, 67640.109, 849.914, 78.125%
18, 31.789, 335690.419, 1503.089, 88.235%
19, 31.789, 147113.752, 890.713, 75.000%
20, 31.789, 118813.967, 1202.491, 88.636%
21, 31.789, 284060.836, 1129.410, 81.579%
22, 31.789, 3965735.859, 12141.140, 83.333%
23, 31.789, 101889.216, 892.510, 78.571%
24, 31.789, 175140.424, 1934.784, 70.000%
25, 31.789, 204402.665, 1334.815, 87.500%
26, 31.789, 42628749.420, 123881.174, 76.190%
27, 31.789, 495702.919, 2646.079, 93.750%
28, 31.789, 2160863.482, 6565.299, 76.667%
29, 31.789, 44729969.305, 192776.960, 85.000%
30, 31.789, 275592.345, 2393.269, 80.000%
31, 31.789, 23463.709, 449.404, 89.474%
32, 31.789, 14719.570, 213.100, 77.778%
33, 31.789, 73093.589, 998.850, 90.000%
34, 31.789, 179504.260, 1123.814, 70.000%
35, 31.789, 228830430.347, 662463.494, 79.167%
36, 31.789, 128740.593, 1274.387, 80.556%
37, 31.789, 380895.514, 1492.454, 88.235%
38, 31.789, 34250.615, 457.840, 86.000%
39, 31.789, 3872373.963, 12247.571, 90.741%
40, 31.789, 89829.779, 937.712, 92.500%
41, 31.789, 173982.155, 1013.504, 81.579%
42, 31.789, 2392128.539, 7748.688, 80.556%
43, 31.789, 70445.699, 512.009, 77.778%
44, 31.789, 2283008.365, 6836.086, 87.500%
45, 31.789, 35025.369, 448.758, 59.091%
46, 31.789, 2401709.641, 8662.637, 85.417%
47, 31.789, 218209.870, 1720.583, 84.211%
48, 31.789, 85209.837, 883.915, 90.385%
49, 31.789, 20246009.328, 59495.295, 94.737%
50, 31.789, 24487.590, 498.766, 80.769%
51, 31.789, 1882202.234, 10553.688, 82.143%
52, 31.789, 652680.137, 3207.961, 73.077%
53, 31.789, 7939057.424, 23271.900, 75.000%
54, 31.789, 2216058.968, 6766.882, 82.500%
55, 31.789, 215924.642, 1297.671, 93.750%
56, 31.789, 2986940.918, 8960.976, 75.000%
57, 31.789, 3464668.396, 11228.848, 82.353%
58, 31.789, 4588680.790, 14193.970, 81.579%
59, 31.789, 147672.658, 988.631, 86.667%
60, 31.789, 607867.577, 2588.348, 76.667%
61, 31.789, 31532.022, 458.262, 90.625%
62, 31.789, 74086.825, 490.230, 93.750%
63, 31.789, 18416.505, 256.822, 79.412%
64, 31.789, 107213.468, 715.958, 76.471%
65, 31.789, 666631.935, 2229.289, 87.500%
66, 31.789, 32040.134, 434.571, 78.261%
67, 31.789, 9201812.472, 27648.746, 80.000%
68, 31.789, 341634.948, 1863.234, 78.571%
69, 31.789, 34834.001, 379.530, 91.667%
70, 31.789, 597633.939, 2827.850, 96.154%
71, 31.789, 556566.271, 2299.695, 86.111%
72, 31.789, 573183.333, 3401.108, 80.000%
73, 31.789, 66398.335, 359.479, 83.333%
74, 31.789, 74734.958, 681.988, 75.000%
75, 31.789, 78908.820, 554.404, 78.125%
76, 31.789, 23992578.280, 107181.428, 80.769%
77, 31.789, 38582.582, 501.852, 80.769%
78, 31.789, 33334.585, 418.220, 85.294%
79, 31.789, 19726.913, 249.695, 82.353%
80, 31.789, 21927832.504, 63086.565, 73.529%
81, 31.789, 537418.864, 3168.147, 78.125%
82, 31.789, 733453.666, 2381.979, 78.846%
83, 31.789, 841989.975, 2840.424, 86.667%
84, 31.789, 761426.188, 2902.969, 78.571%
85, 31.789, 17273.275, 288.908, 92.105%
86, 31.789, 3202046.449, 11086.500, 72.222%
87, 31.789, 5282407.949, 18684.798, 75.000%
88, 31.789, 106425.348, 639.879, 73.684%
89, 31.789, 86746103.722, 251688.714, 73.333%
90, 31.789, 112420.758, 829.536, 80.000%
91, 31.789, 54813.243, 931.429, 78.571%
92, 31.789, 221540.000, 1078.234, 85.714%
93, 31.789, 20783996.353, 62884.053, 79.167%
94, 31.789, 9729578.082, 28298.905, 81.579%
95, 31.789, 3205444.649, 10613.204, 78.571%
96, 31.789, 87180.275, 584.911, 84.375%
97, 31.789, 1169856.021, 6378.182, 80.556%
98, 31.789, 124219.549, 918.855, 88.095%
99, 31.789, 260149.900, 1267.458, 84.615%
100, 31.789, 114649.008, 1116.164, 72.222%
