File: ../datasets/SR_circle.txt
Num vars: 1 Num gens: 100
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 31.790, 4493215.845, 25310.686, 0.000%
2, 31.789, 2189356.868, 6691.405, 57.895%
3, 31.789, 568817.162, 3928.639, 57.143%
4, 31.789, 96928916.226, 277453.024, 76.471%
5, 31.789, 17790015.593, 51787.330, 68.750%
6, 31.789, 411719.014, 2206.523, 75.000%
7, 31.789, 108717.144, 696.730, 77.778%
8, 31.789, 1740689.700, 5652.328, 76.667%
9, 31.789, 953674.794, 3681.938, 77.273%
10, 31.789, 6080502.987, 19951.142, 76.923%
11, 31.789, 3016982.349, 13612.334, 85.000%
12, 31.789, 334538.877, 2510.679, 87.500%
13, 31.789, 4506493.896, 13760.015, 80.769%
14, 31.789, 180233.338, 1592.953, 80.000%
15, 31.789, 7214900.215, 22810.682, 81.250%
16, 31.789, 185587.509, 2250.619, 79.412%
17, 31.789, 6063370.525, 20377.256, 82.143%
18, 31.789, 38605332.139, 113472.871, 85.714%
19, 31.789, 340034.045, 2365.697, 72.727%
20, 31.789, 324026619.426, 944122.091, 88.462%
21, 31.789, 641995.397, 4083.340, 70.000%
22, 31.789, 1291771.319, 15469.442, 76.190%
23, 31.789, 344495192.952, 988875.686, 85.000%
24, 31.789, 622702.306, 4310.560, 59.091%
25, 31.789, 148794412.000, 426686.291, 59.375%
26, 31.789, 125836050.520, 362404.991, 81.250%
27, 31.789, 61327.204, 520.154, 73.529%
28, 31.789, 1956862.681, 6151.365, 87.500%
29, 31.789, 148817.206, 1736.685, 67.391%
30, 31.789, 353853.116, 3536.462, 68.750%
31, 31.789, 149681.210, 1069.124, 80.000%
32, 31.789, 704685.117, 2462.626, 64.286%
33, 31.789, 1132714.255, 5072.519, 65.625%
34, 31.789, 121667.867, 965.343, 81.579%
35, 31.789, 14209440.911, 45074.247, 75.000%
36, 31.789, 251161.569, 1899.525, 80.000%
37, 31.789, 958836.741, 5481.334, 73.333%
38, 31.789, 184548.033, 1860.486, 80.556%
39, 31.789, 93641.048, 779.212, 72.222%
40, 31.789, 289620.607, 1371.215, 94.444%
41, 31.789, 1134512.553, 5176.047, 72.500%
42, 31.789, 189681.840, 1766.593, 90.476%
43, 31.789, 7792226.148, 24309.143, 75.000%
44, 31.789, 375362.393, 2078.816, 94.444%
45, 31.789, 12125896.207, 35695.038, 60.000%
46, 31.789, 92131.634, 895.636, 80.556%
47, 31.789, 253983.096, 1700.149, 80.556%
48, 31.789, 110954833.925, 341613.549, 75.000%
49, 31.789, 84620.168, 922.923, 90.625%
50, 31.789, 3399036.675, 11240.031, 77.083%
51, 31.789, 132562.591, 998.053, 83.333%
52, 31.789, 662812.341, 4751.089, 76.923%
53, 31.789, 54003.527, 803.877, 64.583%
54, 31.789, 16682007.866, 57278.154, 83.333%
55, 31.789, 1147578.853, 7917.939, 71.429%
56, 31.789, 40117.454, 556.771, 76.316%
57, 31.789, 134453.281, 716.468, 80.556%
58, 31.789, 129404.454, 771.214, 85.000%
59, 31.789, 32477248.128, 93316.981, 84.615%
60, 31.789, 3219600.145, 21533.770, 73.077%
61, 31.789, 92856.032, 1351.090, 84.375%
62, 31.789, 474194.719, 2103.088, 81.818%
63, 31.789, 6776221.079, 21645.693, 68.182%
64, 31.789, 2006424.665, 6368.582, 57.143%
65, 31.789, 327769.567, 1943.491, 81.250%
66, 31.789, 300554.510, 3413.585, 72.727%
67, 31.789, 9003507.269, 26116.731, 66.667%
68, 31.789, 1365060.860, 4896.221, 86.667%
69, 31.789, 1827591.805, 9647.413, 81.250%
70, 31.789, 250667.460, 2374.866, 80.769%
71, 31.789, 189804.859, 1560.516, 69.048%
72, 31.789, 35606742.171, 105951.189, 73.077%
73, 31.789, 5123992.849, 27800.535, 55.000%
74, 31.789, 3928682.452, 11607.277, 60.000%
75, 31.789, 2137609.023, 7636.515, 64.706%
76, 31.789, 82693.961, 789.255, 56.250%
77, 31.789, 5888152.528, 18691.277, 57.895%
78, 31.789, 13253853.391, 40550.702, 58.333%
79, 31.789, 723811.527, 2814.510, 44.737%
80, 31.789, 1424689.696, 5462.898, 50.000%
81, 31.789, 50140585.018, 143663.348, 82.353%
82, 31.789, 119917.158, 1161.048, 57.143%
83, 31.789, 2483201.147, 10444.467, 64.286%
84, 31.789, 78521.902, 1187.230, 55.882%
85, 31.789, 793426.469, 5434.711, 43.750%
86, 31.789, 99599.556, 836.206, 60.714%
87, 31.789, 254344.208, 2056.350, 45.000%
88, 31.789, 213597.692, 2025.844, 46.429%
89, 31.789, 561171.459, 3580.079, 52.941%
90, 31.789, 277274.713, 1777.364, 70.000%
91, 31.789, 26331984.914, 81297.248, 66.667%
92, 31.789, 1367944.603, 8142.454, 70.833%
93, 31.789, 1119338.034, 5948.494, 41.667%
94, 31.789, 2007752.949, 6640.516, 50.000%
95, 31.789, 25074208.406, 72126.409, 53.571%
96, 31.789, 861141.123, 3373.637, 52.500%
97, 31.789, 62041746678480816.000, 177262133369478.844, 57.692%
98, 31.789, 30454760.540, 89640.560, 63.333%
99, 31.789, 17476391.843, 81343.492, 58.824%
100, 31.789, 593469.152, 2743.624, 47.500%
