File: ../datasets/SR_circle.txt
N_vars: 1 N_gens: 20 Pop_size: 350 XP: 0.9 MP: 0.3 TS: 80 MAX_D: 6 MIN_D: 5
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 31.78909, 113668381.92171, 628201.82869, 0.000%
2, 31.78909, 119326.88756, 1379.13852, 61.842%
3, 31.78909, 378444.16496, 2211.74591, 87.580%
4, 31.78909, 242283.51986, 1851.28106, 84.756%
5, 31.78909, 40152.78507, 527.14345, 89.091%
6, 31.78909, 652788.26094, 5337.37523, 85.625%
7, 31.78909, 630798.46876, 5439.13932, 89.610%
8, 31.78909, 474379.61489, 5570.28836, 90.000%
9, 31.78909, 66073344.38236, 193388.59156, 88.961%
10, 31.78909, 3309005.32651, 13709.68658, 91.509%
11, 31.78909, 560055.07267, 2547.86712, 90.184%
12, 31.78909, 1605114.55135, 5288.18772, 89.062%
13, 31.78909, 410518.43615, 2072.69210, 86.184%
14, 31.78909, 849910699.57916, 2449887.01064, 89.103%
15, 31.78909, 349291.72103, 1599.26988, 89.557%
16, 31.78909, 120094.41545, 1479.59545, 90.066%
17, 31.78909, 4002267.77280, 12074.67103, 92.331%
18, 31.78909, 48041355.40054, 207321.93535, 94.194%
19, 31.78909, 1965978.72586, 7662.00304, 92.675%
20, 31.78909, 27989259.33535, 83592.29104, 91.139%
