File: ../datasets/SR_div.txt
Num vars: 1 Num gens: 100 Pop Size: 350 XP: 0.1 MP: 0.3
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 9.182, 10732983.883, 41987.503, 0.000%
2, 4.569, 216926059.572, 621568.906, 45.000%
3, 4.569, 3445020.906, 22722.841, 47.368%
4, 4.569, 2619510.711, 11057.891, 44.118%
5, 4.569, 236833446.714, 682351.382, 41.667%
6, 4.147, 2485275.335, 8878.806, 50.000%
7, 4.147, 566937.437, 3774.767, 40.000%
8, 4.146, 12773728.359, 46660.397, 38.889%
9, 4.146, 510579.789, 3280.739, 47.619%
10, 4.146, 537824.665, 5032.021, 43.333%
11, 4.146, 106109.448, 1010.697, 33.333%
12, 4.146, 78004.928, 883.721, 26.667%
13, 4.146, 978586.038, 3303.440, 50.000%
14, 4.013, 1345445.599, 6813.507, 50.000%
15, 4.013, 42565454559.276, 121647234.903, 34.783%
16, 4.013, 17927081.260, 76705.486, 57.692%
17, 4.013, 34266708.485, 162853.829, 36.957%
18, 4.013, 180328.014, 1451.591, 41.667%
19, 4.013, 5073085.770, 34437.816, 39.474%
20, 4.013, 1080014.000, 8568.654, 40.625%
21, 4.013, 41511224.643, 135344.680, 40.476%
22, 4.013, 6257676.544, 20951.621, 28.125%
23, 3.948, 31831734.276, 105996.956, 39.286%
24, 3.948, 294804.186, 2527.347, 40.909%
25, 3.948, 1095532.203, 5333.042, 45.000%
26, 3.948, 185248.621, 997.543, 50.000%
27, 3.911, 3306904.066, 23409.919, 29.412%
28, 3.911, 815956031.469, 4575936.167, 38.235%
29, 3.911, 5228586.488, 17238.589, 42.857%
30, 3.911, 135404.695, 774.132, 43.750%
31, 3.911, 173887.381, 1550.497, 44.737%
32, 3.911, 271842.293, 3111.126, 54.167%
33, 3.911, 55306670.527, 182986.508, 39.583%
34, 3.911, 45412311.254, 133715.014, 60.714%
35, 3.911, 7265910.067, 25712.433, 56.818%
36, 3.911, 6892734.262, 25957.378, 41.667%
37, 3.911, 16446485.659, 50270.307, 40.625%
38, 3.911, 1298476.272, 5748.937, 53.333%
39, 3.911, 362576330.174, 1038566.808, 50.000%
40, 3.911, 426310.740, 2888.650, 50.000%
41, 3.911, 1731496851.070, 4973393.082, 52.778%
42, 3.911, 4040491.415, 35113.996, 65.625%
43, 2.998, 51133.633, 815.390, 57.143%
44, 2.998, 10250690.472, 30789.487, 43.478%
45, 2.998, 888914.880, 9030.719, 55.882%
46, 2.998, 743502.749, 4524.413, 41.176%
47, 1.169, 37516644.202, 126906.608, 52.273%
48, 1.169, 2014181.087, 6550.781, 50.000%
49, 1.243, 3487755.021, 11662.325, 50.000%
50, 1.243, 279781.040, 2589.206, 47.222%
51, 1.243, 24175551614.015, 69144442.923, 40.000%
52, 1.243, 56963213.783, 166860.491, 43.333%
53, 1.971, 1548919.230, 14385.821, 39.474%
54, 1.632, 1494823.734, 5000.395, 57.143%
55, 1.169, 327633.077, 2052.604, 43.182%
56, 1.169, 144933087.794, 447861.931, 42.500%
57, 1.169, 129438.372, 1609.428, 50.000%
58, 0.936, 1222350483.534, 4006094.776, 48.333%
