File: ../datasets/SR_div.txt
N_vars: 1 N_gens: 100 Pop_size: 350 XP: 0.1 MP: 0.3
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 7.364, 2549505.056, 11018.210, 0.000%
2, 7.364, 475196.534, 2641.580, 41.667%
3, 7.291, 176623.361, 1861.934, 45.833%
4, 7.291, 1097725717.204, 3185423.418, 50.000%
5, 7.291, 2029641.081, 9658.309, 52.632%
6, 7.291, 4056102.099, 30180.385, 59.091%
7, 7.291, 1547679.997, 6642.659, 60.526%
8, 7.291, 1237886.177, 11469.333, 63.158%
9, 6.966, 251431.378, 2301.021, 67.857%
10, 6.966, 1400653086.301, 4004858.476, 76.471%
11, 6.966, 877721192.347, 2514271.274, 61.111%
12, 6.966, 7518331.315, 41950.771, 58.333%
13, 6.943, 69150.539, 691.026, 47.727%
14, 6.929, 7083409.954, 24331.969, 56.667%
15, 6.835, 96329115.251, 317575.936, 45.455%
16, 6.835, 677843.350, 4641.971, 33.333%
17, 6.107, 23109.458, 420.191, 42.857%
18, 6.788, 8161428.360, 24751.686, 50.000%
19, 4.538, 92909598.294, 274140.762, 36.667%
20, 4.538, 15407476.485, 50806.941, 41.176%
21, 4.538, 2973339228.594, 8520224.138, 46.429%
22, 4.538, 261514776.267, 772568.177, 45.000%
23, 4.538, 8185153.861, 31217.838, 50.000%
24, 4.538, 1006609313.396, 2906149.259, 50.000%
25, 2.867, 28948838.006, 101590.187, 55.000%
26, 2.867, 2095028.197, 7131.222, 40.625%
27, 2.867, 50798.473, 1022.027, 42.105%
28, 2.867, 68459250.367, 200071.897, 50.000%
29, 2.867, 851073177654.902, 2431747373.316, 47.059%
30, 2.867, 884778.905, 4931.929, 43.750%
31, 2.867, 201290.237, 1796.141, 38.235%
32, 2.867, 1277135.844, 6410.202, 42.308%
33, 2.462, 15598655.421, 46886.184, 50.000%
34, 2.462, 15514499.566, 46464.963, 38.235%
35, 2.462, 180340.964, 1361.586, 33.333%
36, 2.180, 1740205.078, 19410.986, 57.143%
37, 2.180, 1067575770.633, 3058848.554, 36.364%
38, 2.180, 15504327.410, 50713.608, 36.842%
39, 2.123, 664281.597, 2682.179, 43.182%
40, 2.123, 30307723.681, 96381.614, 57.692%
41, 2.123, 818083.866, 5781.755, 50.000%
42, 2.123, 67351959.048, 193471.169, 50.000%
43, 2.123, 1185327030.084, 3399352.802, 62.500%
44, 2.123, 13425722.907, 43021.039, 63.636%
45, 1.901, 1544444.443, 5809.582, 59.375%
46, 1.901, 10220479.213, 33368.237, 58.333%
47, 1.901, 692736.964, 5731.028, 50.000%
48, 0.952, 3908784.495, 12820.881, 31.250%
49, 1.901, 68084140.107, 195108.401, 35.714%
50, 1.901, 1361432.978, 5813.902, 34.375%
51, 1.901, 8228080.286, 31388.788, 43.182%
52, 1.901, 233016752.040, 671450.779, 42.500%
53, 1.901, 1150232.002, 4651.020, 57.895%
54, 1.901, 673167713.315, 1926266.189, 50.000%
55, 1.884, 69554061.961, 205361.719, 47.222%
56, 1.418, 9639345.886, 31470.278, 57.143%
57, 0.854, 9710320.142, 63802.208, 40.909%
58, 0.854, 3436825.666, 10607.732, 43.750%
59, 0.854, 534379.929, 2387.794, 40.476%
60, 0.854, 22813344.280, 82451.377, 36.667%
61, 0.854, 26037353.707, 89794.031, 55.556%
62, 0.854, 103806902.428, 297652.155, 40.625%
63, 0.854, 10414834.514, 39755.009, 42.000%
64, 0.854, 5241554.837, 21807.277, 65.000%
65, 0.854, 128102966483.543, 366370986.445, 46.875%
66, 0.854, 4312276.257, 13061.361, 35.714%
67, 0.854, 131332318.162, 379954.975, 40.000%
68, 0.854, 957354.788, 4192.332, 43.182%
69, 0.854, 215066555.974, 706744.767, 45.833%
70, 0.854, 5326043.701, 19968.994, 46.429%
71, 0.854, 1766432.671, 7334.467, 34.211%
72, 0.854, 528928.682, 3394.526, 50.000%
73, 0.854, 352676244.296, 1008400.319, 36.667%
74, 0.854, 6520739.893, 46830.351, 42.500%
75, 0.854, 261171166.229, 996937.195, 31.818%
76, 0.854, 151151890.209, 698865.356, 53.571%
77, 0.854, 770980238.925, 2716381.459, 36.842%
78, 0.854, 662455.049, 4334.451, 47.500%
79, 0.854, 1000825298.157, 2860233.039, 40.000%
80, 0.854, 199194084.331, 602609.785, 43.333%
81, 0.854, 1292401.207, 7714.508, 46.875%
82, 0.854, 857490.572, 4969.123, 34.375%
83, 0.854, 4954406.842, 31339.425, 48.485%
84, 0.854, 2150033386.027, 6144285.510, 50.000%
85, 0.854, 4227000.334, 18887.074, 38.636%
86, 0.854, 513488.484, 2558.845, 45.000%
87, 0.854, 3637534.423, 11574.764, 41.667%
88, 0.854, 5148844590025.166, 14710985542.151, 43.182%
89, 0.854, 845873445.056, 2465898.890, 52.778%
90, 0.854, 1278131.837, 9294.365, 45.455%
91, 0.854, 18865226.030, 56259.077, 57.500%
92, 0.854, 8739979.558, 31246.233, 30.556%
93, 0.854, 40206165.601, 118893.498, 38.235%
94, 0.854, 198816010.965, 627917.694, 47.500%
95, 0.854, 7323467182.006, 23414525.288, 40.000%
96, 0.854, 1258273.898, 8171.766, 42.308%
97, 0.854, 2523330.027, 22111.289, 57.895%
98, 0.854, 4567130.384, 19923.626, 50.000%
99, 0.854, 1583208.931, 8790.525, 41.667%
100, 0.854, 1952283.326, 16824.472, 33.333%
