File: ../datasets/SR_div.txt
N_vars: 1 N_gens: 100 Pop_size: 200 XP: 0.6 MP: 0.1 TS: 30 MAX_D: 6 MIN_D: 3
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 12.76066, 67065451949.46217, 335663279.73231, 0.000%
2, 9.70233, 15127089.63224, 80182.25740, 22.881%
3, 5.15445, 764820220.12626, 4249255.01823, 29.310%
4, 5.06510, 240449570591.75287, 1203530724.96768, 15.741%
5, 1.26373, 6898277.32891, 51650.40149, 22.581%
6, 0.81535, 2396226.24585, 15920.87939, 21.875%
7, 0.81535, 23509656.53152, 177522.04948, 16.667%
8, 0.81535, 24151217.60427, 204090.86878, 16.964%
9, 0.72627, 114046319.83293, 624032.92731, 21.296%
10, 0.72627, 7893269.56438, 111612.56565, 33.333%
11, 0.67127, 2474276537310.93115, 12371425441.80707, 32.456%
12, 0.67127, 175077803205.48450, 877681931.13130, 35.593%
13, 0.67127, 198294895.51598, 1010723.93474, 27.000%
14, 0.67127, 12459911.74747, 71059.42701, 32.203%
15, 0.67127, 163392741.26917, 906832.70774, 33.333%
16, 0.67127, 9106304701.55741, 51399805.61609, 39.286%
17, 0.67127, 145808669.86906, 1003602.87924, 31.343%
18, 0.67127, 17519411.00746, 94441.58183, 40.678%
19, 0.67127, 6826661234.87994, 34391714.66450, 35.484%
20, 0.67127, 368596398.67894, 2065016.44247, 42.500%
21, 0.67127, 5328879644.34946, 26654236.95390, 53.448%
22, 0.67127, 561920.03117, 9361.33513, 43.636%
23, 0.67127, 182336396.40484, 970281.92946, 47.458%
24, 0.67127, 195322630596.73886, 988963044.41861, 25.000%
25, 0.67127, 18101180.63565, 230686.76148, 25.000%
26, 0.67127, 23918333.11332, 164086.90985, 38.806%
27, 0.67127, 14648083.33364, 91761.50830, 33.051%
28, 0.67127, 1382638405.10400, 10005439.95871, 28.571%
29, 0.67127, 44976120.58880, 323668.48398, 36.923%
30, 0.67127, 4013609585.99366, 20074290.61495, 41.228%
31, 0.67127, 4421646.20049, 27062.41923, 31.250%
32, 0.67127, 28351149.35168, 191208.05457, 32.432%
33, 0.67127, 20873056.75557, 161951.81718, 35.714%
34, 0.67127, 40081631.14037, 265410.17262, 33.333%
35, 0.67127, 549089350.72851, 2825171.94967, 37.681%
36, 0.67127, 105003366.98257, 610782.21574, 33.333%
37, 0.67127, 666385369130441.12500, 3331927198955.45312, 40.351%
38, 0.67127, 9062897.48955, 63654.48385, 40.741%
39, 0.67127, 1743493.34974, 15569.98989, 40.323%
40, 0.67127, 597064342153.41309, 2985474823.28538, 25.000%
41, 0.67127, 1815897.73798, 22912.83992, 38.333%
42, 0.67127, 13789178.98868, 111171.98543, 25.806%
43, 0.67127, 145396549.04887, 900885.52221, 30.159%
44, 0.67127, 857354.76947, 9169.03638, 23.077%
45, 0.67127, 1131380.99776, 16992.80606, 31.967%
46, 0.67127, 40668964.33139, 249043.69905, 26.667%
47, 0.67127, 628492068.37581, 3190250.05017, 30.508%
48, 0.67127, 1062918706.01943, 5404405.17581, 32.727%
49, 0.67127, 6641038778.52715, 33266636.00971, 30.189%
50, 0.67127, 311553020.07498, 1797633.76161, 29.688%
51, 0.67127, 520328.04516, 6002.62153, 30.000%
52, 0.67127, 125034171.76372, 715854.91244, 28.788%
53, 0.67127, 53961699.03390, 302415.42662, 27.778%
54, 0.67127, 156362696.80202, 888307.99099, 29.851%
55, 0.67127, 3329056751552268.00000, 16645283968965.83789, 44.231%
56, 0.67127, 6477539.59953, 69375.71391, 42.500%
57, 0.67127, 547083.00328, 9915.18912, 35.385%
58, 0.67127, 30716030.12228, 214107.45919, 27.273%
59, 0.67127, 66318444614817039777792.00000, 331592223074086092800.00000, 40.678%
60, 0.67127, 251575854616.67712, 1257974055.30474, 35.938%
61, 0.67127, 14846090206.34114, 75133000.58626, 34.426%
62, 0.67127, 7791003257.62411, 39127893.22448, 21.774%
63, 0.67127, 3433315142.63158, 17750266.53991, 35.507%
64, 0.67127, 2147262.03417, 20631.51885, 38.983%
65, 0.67127, 1608269.83465, 16147.61036, 41.538%
66, 0.67127, 11440815.26900, 83307.43230, 33.333%
67, 0.67127, 1256712.40084, 19388.29136, 34.545%
68, 0.67127, 124041973384.02744, 620349471.45233, 29.032%
69, 0.67127, 379693178.00010, 3089756.62305, 33.871%
70, 0.67127, 4155061.65562, 49290.54064, 26.087%
71, 0.67127, 251969064163.10800, 1269290264.43026, 25.424%
72, 0.67127, 2319894.43878, 21526.45902, 32.787%
73, 0.67127, 2642984.12215, 19642.67504, 22.581%
74, 0.67127, 8342542.15164, 70319.80782, 30.000%
75, 0.67127, 3979071.67422, 35460.55249, 37.705%
76, 0.67127, 971337224.88508, 5772512.63394, 32.857%
77, 0.67127, 2698318.30026, 44599.52611, 27.869%
78, 0.67127, 947083.78897, 11913.47484, 40.164%
79, 0.67127, 85088269.02556, 921474.71768, 35.593%
80, 0.67127, 527380240959.31110, 2637033452.87488, 35.088%
81, 0.67127, 2585323.71701, 24824.03068, 30.189%
82, 0.67127, 1805388.95746, 17805.90496, 34.483%
83, 0.67127, 29020507.34258, 167440.85999, 38.983%
84, 0.67127, 446012084.83297, 2246755.97678, 35.821%
85, 0.67127, 26063853.07723, 160770.31947, 33.333%
86, 0.67127, 4722468925.52072, 23682000.97915, 41.935%
87, 0.67127, 153789457.84246, 823148.31776, 40.000%
88, 0.42136, 286429301.41098, 1553623.40047, 41.818%
89, 0.35278, 629646032.60062, 5789737.71399, 26.230%
90, 0.35278, 2090087144.10221, 13983337.68246, 28.947%
91, 0.35278, 414522250495.76630, 2393231474.04812, 16.102%
92, 0.32559, 4453132239239.04590, 22266286678.56395, 42.373%
93, 0.16150, 3070171.74171, 22487.62280, 24.107%
94, 0.16150, 47674258.53101, 453615.71491, 33.846%
95, 0.10508, 85638096.51827, 458144.18962, 31.884%
96, 0.10508, 6520304348.64794, 32726222.38256, 31.061%
97, 0.10508, 3021522.75867, 19449.53519, 24.576%
98, 0.10508, 3107654941378.85107, 15538284108.09171, 40.625%
99, 0.10508, 2193224.18376, 29786.12523, 34.426%
100, 0.10508, 791217045.56801, 3981099.36752, 27.119%
