File: ../datasets/SR_div.txt
N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 20 MAX_D: 6 MIN_D: 1
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 7.91613, 7012157116655.91699, 15247875785.22288, 33.937%
2, 7.84905, 1326146657.49998, 6653635.39918, 30.682%
3, 7.81210, 15882504166183.60352, 31787377151.14775, 18.363%
4, 7.81210, 561863260.43663, 1931279.97640, 23.904%
5, 7.81210, 327565446093.97406, 666845366.07772, 14.612%
6, 7.81089, 145009740465.28494, 290180702.20506, 31.223%
7, 7.81089, 896798760.40162, 2288471.60881, 44.064%
8, 7.81030, 4083211299.22491, 10884737.72864, 33.850%
9, 7.81030, 6240486.97207, 27618.35246, 58.043%
10, 7.81030, 15114585807466.21484, 30236936207.68406, 46.818%
11, 7.81030, 1737925611598.94336, 3576140238.53683, 36.623%
12, 7.81030, 449719125.57991, 1106082.27332, 46.256%
13, 7.81030, 46837669.90494, 132030.52904, 42.466%
14, 7.81030, 302851240.24445, 621429.34408, 41.850%
15, 7.81030, 3510095016.57529, 7437080.70327, 40.991%
16, 7.81030, 1321864182.83357, 2698975.66299, 38.914%
17, 7.81030, 728499533442.58057, 1457010834.88788, 45.622%
18, 7.81030, 595114842.91219, 1257675.45901, 36.036%
19, 7.81030, 7778848.24201, 47463.87541, 41.629%
20, 7.81030, 43642369632.93221, 87298807.34625, 37.339%
21, 7.81030, 7615330.36837, 16764.64713, 37.333%
22, 7.81030, 521189492.57510, 1180588.07847, 41.228%
23, 7.81030, 17710346391.89388, 57047548.65408, 38.696%
24, 7.81030, 2338413.07342, 13325.41484, 37.004%
25, 7.81030, 1153955.77729, 6276.28020, 37.557%
26, 7.81030, 498569252.63328, 1306761.41857, 36.522%
27, 7.81030, 116763732780.73904, 234598675.61101, 47.391%
28, 7.81030, 2078222582.98716, 4209116.31922, 40.948%
