File: ../datasets/SR_div.txt
N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 20 MAX_D: 6 MIN_D: 1
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 7.84318, 2685584939.94547, 8424542.84383, 42.667%
2, 5.19651, 4954425035.59279, 10201711.64979, 30.349%
3, 2.87946, 434506595.50333, 1612772.88211, 21.889%
4, 1.36658, 1229302664.22861, 3659979.66635, 28.761%
5, 0.46662, 69937409975365.03125, 142587908207.49448, 16.964%
6, 0.46662, 105995717830.32855, 235149958.43749, 30.310%
7, 0.46662, 19094525153926.25391, 38189813121.85174, 28.000%
8, 0.46662, 9684533.96469, 37769.47166, 44.796%
9, 0.46662, 1099645675043.42847, 2201496921.41609, 41.739%
10, 0.46662, 60623378.85217, 227459.88588, 44.196%
11, 0.46662, 4155207398.66884, 8560307.37760, 44.915%
12, 0.46662, 35218013.15596, 73412.23313, 46.460%
13, 0.46662, 3184876.36225, 17667.62716, 45.778%
14, 0.46662, 3160778.74643, 13022.14267, 45.778%
15, 0.46662, 1071819713.16717, 2355936.12796, 48.673%
16, 0.46662, 3830919718511.61865, 7665865258.42190, 43.421%
17, 0.46662, 43778235.67882, 109475.74839, 52.074%
18, 0.46662, 24140710929.01287, 48303567.02243, 41.778%
19, 0.46662, 20346471264.08053, 69858394.11958, 43.779%
20, 0.46662, 151711035.31729, 314297.41268, 44.843%
21, 0.46662, 2884228.08130, 16073.72437, 50.000%
22, 0.46662, 219021091.81134, 562882.76594, 42.411%
23, 0.46662, 5392663.48368, 28748.79122, 42.857%
24, 0.46662, 18212657.14882, 45038.35949, 50.909%
25, 0.38352, 6351383412.28430, 12849708.69076, 46.460%
26, 0.38352, 3478089.35169, 10190.59401, 49.123%
27, 0.38352, 6399780432.41826, 13232099.87931, 35.586%
28, 0.38352, 56602830.00850, 185491.57027, 41.522%
29, 0.38352, 609237228.74186, 1310611.59045, 43.478%
30, 0.38352, 498112860930.80310, 999308124.32278, 41.593%
31, 0.38352, 23956674.41927, 170629.09746, 49.333%
32, 0.38352, 48903293.30252, 125057.51128, 48.661%
33, 0.38352, 1465488086.60131, 2952724.98341, 41.333%
34, 0.38352, 73487963.85262, 160344.00101, 43.694%
35, 0.38352, 343210988.44472, 958138.27469, 43.363%
36, 0.38352, 462285893220723.43750, 924575083535.47632, 47.556%
37, 0.38352, 26753261.17427, 75764.51732, 43.103%
38, 0.38352, 13349886.02613, 40900.78163, 50.667%
39, 0.38352, 1444013634.93037, 4016549.59677, 45.175%
40, 0.18727, 11849092.92236, 89635.63658, 45.923%
41, 0.18727, 204531202.27950, 428597.53507, 46.320%
42, 0.18727, 3472256391.91222, 7689582.77066, 38.063%
43, 0.18727, 84302211221.01485, 169063788.93931, 45.312%
44, 0.18727, 219019677.50407, 473248.21514, 41.558%
45, 0.18727, 220610686.82960, 447093.66226, 48.879%
46, 0.18727, 149653337.17867, 468083.65643, 49.107%
47, 0.18727, 10423948.43644, 67683.61947, 45.614%
48, 0.18727, 7818573490.69695, 15685010.10206, 42.478%
49, 0.18727, 2619321494388.76318, 5239386754.12161, 40.807%
50, 0.18727, 66858757.45138, 147302.45031, 45.622%
51, 0.18727, 87558361234.33850, 179854400.07833, 44.828%
52, 0.18727, 35932019659.53476, 71924783.80326, 46.288%
53, 0.18727, 3918697.86513, 11777.82571, 47.186%
54, 0.18024, 9116686469.80202, 18921201.57885, 46.789%
55, 0.18024, 363883264.25904, 738838.49524, 40.444%
56, 0.18024, 1765918989.71088, 3735354.92492, 38.444%
57, 0.18024, 149458282762.66891, 299194397.95383, 42.489%
58, 0.18024, 2102729.97819, 13307.91387, 46.983%
59, 0.12604, 370514080.26977, 763852.72904, 39.912%
60, 0.12604, 74513005140438.09375, 149684825432.59839, 42.920%
61, 0.12604, 310553298.95973, 811337.75316, 40.393%
62, 0.12604, 5641649536.38603, 15976932.22544, 33.628%
63, 0.12604, 78096222624166912.00000, 156192445303253.84375, 42.358%
64, 0.12604, 253589310511.87234, 508672012.04239, 38.326%
65, 0.09991, 4566445172.89973, 12032384.46815, 40.826%
66, 0.09991, 119762563417.92468, 270069344.40644, 42.342%
67, 0.09991, 941433847.94743, 2065852.59873, 36.889%
68, 0.09991, 424326875143.32422, 1022115606.09401, 41.892%
69, 0.09991, 1373039234.71139, 2772720.17131, 46.491%
70, 0.09991, 1830750.88508, 8927.82932, 47.345%
71, 0.09991, 15006850.47806, 79271.79778, 40.435%
72, 0.09991, 183306832.39739, 676068.17415, 42.466%
73, 0.09991, 37167899.49469, 113719.32737, 50.442%
74, 0.09991, 9419663579.25495, 20458860.87217, 45.946%
75, 0.09991, 39481299.93745, 157344.77344, 49.123%
76, 0.09991, 1070151784128.50598, 2140582571.65942, 51.570%
77, 0.09991, 13074200.87262, 49893.64320, 49.333%
78, 0.09991, 3174726035.36637, 6905508.00793, 44.053%
79, 0.09991, 126349433.41093, 258525.85700, 43.363%
80, 0.09991, 59973491845.50766, 119959749.69639, 44.248%
81, 0.09991, 85896083474.78035, 171839291.33860, 49.321%
82, 0.09991, 756301051.49662, 3170308.06938, 44.493%
83, 0.09991, 3041393531158.54248, 6087771647.02914, 41.096%
84, 0.09991, 119918413.33717, 426668.26287, 46.847%
85, 0.09991, 2024835601.31310, 4156937.72823, 42.489%
86, 0.09991, 64592072.18716, 166597.00109, 46.460%
87, 0.09991, 102295496900.49901, 204598527.44471, 50.667%
88, 0.09991, 1757846.12047, 4848.29501, 45.701%
89, 0.09991, 4973659036569781.00000, 9947318086104.75977, 46.667%
90, 0.09991, 1799664.25596, 7219.33513, 47.845%
91, 0.08578, 523294298.87804, 1254689.75544, 48.485%
92, 0.08578, 327054032989982.25000, 654108289849.87976, 41.850%
93, 0.08578, 874675174.21915, 2104000.44753, 32.969%
94, 0.08578, 43487467537.00085, 101863987.35847, 42.609%
95, 0.08578, 234121274.23392, 488718.47768, 41.850%
96, 0.08578, 38308953.49043, 86406.59542, 48.165%
97, 0.08578, 25502750.66143, 80736.82663, 48.485%
98, 0.08578, 62307938.33050, 213011.13689, 41.964%
99, 0.08578, 12720588.42699, 41929.03098, 39.732%
100, 0.08578, 683967400.97169, 2257062.00176, 44.000%

Number of variables: 1
Tree:
ADD
L6: |---VAR1
R1: |---MUL
L5: |---|---DIV
L6: |---|---|---0.0521412323494
R6: |---|---|---VAR1
R1: |---|---0.47515498616

Fitness: 0.0857782149395
Elapsed time: 77.310379 (s)
