File: ../datasets/SR_div.txt
N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.3 TS: 20 MAX_D: 6 MIN_D: 1
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 7.98205, 16777192930.45026, 36342347.76421, 0.000%
2, 7.84890, 2943200244237371.50000, 5886402794666.70117, 26.116%
3, 3.77868, 42256727.00183, 279854.14157, 21.875%
4, 3.77868, 14943841383.82366, 30943855.49998, 24.419%
5, 3.77868, 3635651759.20845, 15155102.10058, 21.171%
6, 2.26802, 465859908816.33917, 936183837.92712, 44.681%
7, 2.26802, 4529939728.92865, 10463724.64461, 50.862%
8, 1.76060, 17346426.19299, 60928.90810, 44.419%
9, 1.21283, 57146093314.19717, 114434674.01990, 58.370%
10, 1.20997, 15823953.68412, 72891.89519, 47.149%
11, 1.20997, 182081166942.99432, 364999086.21596, 38.667%
12, 1.20997, 2436504097776.22314, 4881739323.23873, 42.424%
13, 0.76507, 4351290986.43023, 8822798.97352, 63.453%
14, 0.76507, 8266077.17587, 22145.94912, 58.222%
15, 0.76052, 24284722566.55816, 63060343.98650, 41.136%
16, 0.76052, 6157421.13522, 48205.30916, 53.247%
17, 0.75496, 282373910.47780, 660752.10768, 42.035%
18, 0.66274, 2011477220.34840, 5646979.97666, 54.808%
19, 0.66274, 212052910.59330, 579936.81032, 42.424%
20, 0.66274, 34643727674.32229, 69462576.28797, 42.791%
21, 0.66274, 4280042866237.52295, 8560272052.11628, 57.174%
22, 0.42118, 116958486.52533, 260510.19880, 58.772%
23, 0.35360, 8108897811.63772, 16224612.17575, 52.009%
24, 0.35360, 6858019018.12514, 15631929.98558, 37.613%
25, 0.20411, 4323453361.56528, 10734914.13676, 48.026%
26, 0.20411, 15571158359.57360, 32265306.62309, 37.381%
27, 0.19840, 507408376.99368, 1102002.77010, 38.043%
28, 0.15214, 24714682771.04127, 49739512.39582, 48.630%
29, 0.15214, 8122753477.63841, 16292350.03797, 36.404%
30, 0.15214, 49077690266.65364, 98533411.65607, 35.945%
31, 0.15214, 782804445.85792, 1984594.98752, 39.865%
32, 0.15214, 20054432.86645, 74171.02165, 44.737%
33, 0.15098, 705406.09270, 4454.79453, 54.646%
34, 0.15098, 9062176692.85400, 28008410.08659, 43.348%
35, 0.15098, 1253227736870.97778, 2506519800.08172, 36.784%
36, 0.15098, 1535545245.59743, 6444158.40170, 45.536%
37, 0.15098, 70647564576.58583, 141406808.75893, 43.379%
38, 0.15098, 6910739510265994.00000, 13821499837980.83594, 44.395%
39, 0.15098, 1827380.20069, 10088.49742, 48.198%
40, 0.15098, 598235110.31342, 1210610.51907, 50.885%
41, 0.14895, 201572106.88658, 843219.09635, 50.000%
42, 0.14895, 28497905258.89582, 57261039.53360, 41.509%
43, 0.14895, 3146543186.69036, 8940629.71081, 38.839%
44, 0.14895, 2754760625.82070, 5717846.87768, 44.393%
45, 0.13897, 74545138298.88214, 149113653.82622, 48.458%
46, 0.13897, 543738020678.42230, 1088614509.83238, 39.556%
47, 0.13897, 15293977004.45948, 32005784.13022, 35.356%
48, 0.13897, 961271624.36207, 3137878.81623, 48.696%
49, 0.13897, 48732366.50877, 169723.81349, 38.991%
50, 0.13897, 48917225538.13263, 98226779.84813, 56.818%
51, 0.13897, 275158636.81019, 570345.81397, 45.333%
52, 0.13897, 409114516035.35834, 819335867.18984, 49.785%
53, 0.13897, 890051353.36257, 1799317.04533, 41.991%
54, 0.13897, 4355853619.42969, 9785417.05576, 49.772%
55, 0.13897, 184268258.16074, 617203.63938, 42.105%
56, 0.13897, 127258585.57652, 272446.06303, 50.000%
57, 0.13897, 465159205.18790, 1693759.03590, 47.807%
58, 0.13897, 216053249.67646, 614222.96146, 48.661%
59, 0.13897, 505953433.89661, 1146625.70707, 42.035%
60, 0.13897, 7604467.70260, 19271.45079, 47.059%
61, 0.13897, 10156719066.31803, 21545366.60899, 41.818%
62, 0.13897, 4734615416.82581, 9761843.34777, 47.059%
63, 0.13897, 119406542.05985, 245082.57612, 46.696%
64, 0.13897, 4032714767.09016, 8069717.94508, 49.327%
65, 0.13897, 100372980.70837, 319734.19332, 49.123%
66, 0.13897, 376518.66635, 2835.56570, 50.224%
67, 0.13897, 113851129.37427, 255853.31937, 52.444%
68, 0.13897, 9527989.89445, 20519.88051, 48.458%
69, 0.13897, 66699748.88873, 137558.15525, 49.784%
70, 0.13897, 506968286.45680, 1661021.05022, 44.298%
71, 0.13897, 5431375.56167, 24485.65254, 47.297%
72, 0.13897, 74873625.53558, 191229.57994, 49.561%
73, 0.13897, 19831701263258.49609, 39663425322.23563, 45.333%
74, 0.13897, 471466972.32046, 1898345.04725, 50.450%
75, 0.13897, 17954804.41668, 48092.22138, 47.964%
76, 0.13897, 27704425104.74064, 55570641.05377, 43.379%
77, 0.13897, 2195621.11029, 12288.74459, 43.290%
78, 0.13897, 123716296.71296, 269986.78492, 50.218%
79, 0.13897, 3606565401.57873, 7258592.43603, 43.891%
