File: ../datasets/SR_div.txt
N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 20 MAX_D: 6 MIN_D: 1
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 8.41078, 168578267123.89053, 358025255.28106, 0.000%
2, 7.81559, 1941130175.71396, 6919570.30187, 30.531%
3, 7.81559, 166024319.57888, 932657.04433, 25.785%
4, 7.81559, 684263775.67105, 1767758.83638, 21.834%
5, 7.81559, 98742340.04634, 525036.52142, 31.390%
6, 7.81559, 43796047.86396, 301008.94398, 38.596%
7, 7.81559, 50285459.47765, 238008.30629, 36.607%
8, 7.81559, 15193118.15468, 41355.56675, 35.111%
9, 7.81559, 887886.13370, 6148.51993, 35.648%
10, 7.81559, 8876011242.61482, 20469517.48337, 36.522%
11, 7.81559, 23897099598.70238, 47988611.67979, 32.340%
12, 7.81559, 18741161523.03333, 38425311.21841, 36.607%
13, 7.81559, 7878104878.39532, 15841823.75826, 35.556%
14, 7.81559, 19456029931.09943, 38980927.38981, 33.641%
15, 7.81559, 44037460.18144, 169627.16961, 34.498%
16, 7.81412, 141418622.61595, 338856.50284, 36.726%
17, 7.81412, 3273343906.72830, 7012716.04496, 39.171%
18, 7.81412, 100915927.17994, 347106.30704, 33.478%
19, 7.81412, 326676671.36302, 846294.23762, 36.283%
20, 7.81412, 251824554622.61273, 504685358.93185, 42.609%
21, 7.81412, 33769806.36789, 113978.24309, 39.381%
22, 7.81412, 617327889.43906, 1249859.98275, 41.558%
23, 7.81412, 20764640086.83040, 41655048.24156, 36.444%
24, 7.81412, 10789513.53464, 44431.05269, 37.611%
25, 7.81412, 2664911788.21839, 5425009.18194, 37.727%
26, 7.81412, 114227249.02574, 378261.48229, 36.444%
27, 7.81412, 683723227.66557, 1763056.83023, 42.986%
28, 7.81412, 170517140.57983, 358602.31838, 38.667%
29, 7.81412, 2440184209.89675, 5193436.12924, 37.229%
30, 7.81412, 77186178.87229, 375817.50465, 40.807%
