
File: ../datasets/SR_div.txtFinal results.
SEED: N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 20 MAX_D: 6 MIN_D: 1
ARITHMETIC MEAN OF ALL EXECUTIONS
GEN, BEST, WORST, AVG, %BETTER CHILDREN

1, 7.78697958059, 1.30703000265e+16, 2.61681508141e+13, 0.0
2, 6.87692924421, 1.01935894589e+13, 20450959651.3, 31.4506189475
3, 5.9733261651, 1.11642857096e+15, 2.23293046552e+12, 26.0237899991
4, 5.35272577635, 5.04132880605e+11, 1197425555.93, 29.580734406
5, 5.06832473415, 5.52854105639e+12, 11112193599.5, 31.0563684469
6, 4.90819306777, 1.48905933507e+13, 29786374483.5, 33.8321081018
7, 4.77655470896, 4.55176440224e+13, 91037195381.5, 35.4331639432
8, 4.54308731686, 4.60529882024e+15, 9.2129828653e+12, 37.0440954884
9, 4.45251432165, 1.61034976608e+13, 32208379826.9, 41.9751316849
10, 4.13420726501, 1.03397378489e+12, 2081905698.24, 41.7223148781
11, 4.02020538645, 3.8590226653e+13, 77235695163.3, 41.46560563
12, 3.99070126671, 4.44424276915e+14, 888879553573.0, 40.2034056146
13, 3.91429648189, 5.55240846826e+15, 1.1104831419e+13, 40.1871151538
14, 3.85143778357, 1.86803471971e+13, 37507055747.8, 42.2487175198
15, 3.8261226882, 1.44788029842e+18, 2.89576059888e+15, 39.2599119679
16, 3.61675517823, 1.59170488994e+14, 318355828207.0, 40.4417580526
17, 3.61630316756, 3.35030646365e+11, 675566761.563, 41.4123065813
18, 3.60686296776, 9.68932646305e+12, 19398883067.6, 40.8438447558
19, 3.60663663095, 1.05886900939e+14, 211777005053.0, 41.3002564963
20, 3.60588834198, 1.25626669482e+11, 285888554.942, 39.9748223633
21, 3.58417729615, 2.82358568331e+11, 569297867.879, 40.6178073398
22, 3.30040766257, 2.19414546729e+13, 43885776132.4, 40.8117366571
23, 3.17320633013, 1.97651679578e+11, 396211192.398, 41.5240073333
24, 3.11921631867, 1.29349641951e+13, 25970108169.1, 39.7563963057
25, 2.93051711751, 2.4061249264e+16, 4.812250502e+13, 39.5126461269
26, 2.81671194154, 3.85791694216e+12, 7717540390.17, 41.8918242894
27, 2.73783804607, 1.66194134403e+11, 333423329.195, 41.7290029585
28, 2.70866107886, 2.00243978724e+16, 4.00827485817e+13, 40.5220142187
29, 2.51572800494, 1.99554617516e+12, 4054331467.8, 38.6724188889
30, 2.4892665041, 2.77035588307e+12, 5601833591.46, 39.2292909325
31, 2.4856396038, 69678272938.0, 147938619.081, 40.7804995927
32, 2.48563687003, 1.39261602363e+15, 2.78523329545e+12, 40.5513801085
33, 2.47187124318, 52199517716.8, 113613402.543, 40.8119603421
34, 2.45718901956, 1.99916478832e+13, 39992201631.8, 41.6413338642
35, 2.38943376606, 4.17442942364e+15, 8.34886185203e+12, 41.4340316855
36, 2.31892381485, 1.20019334095e+15, 2.40049127572e+12, 41.7415008178
37, 2.01642608568, 7.41323235798e+11, 1489794331.65, 40.9505203358
38, 1.99020118117, 4.10284210082e+13, 82063963525.7, 41.6419382763
39, 1.96330491211, 57835520556.2, 116220413.47, 42.2727147443
40, 1.96169295634, 1.96268272696e+15, 3.92536724477e+12, 40.8377307461
41, 1.94631681943, 3.49920891522e+11, 700728878.992, 42.0069208725
42, 1.92047449927, 3.20671112707e+12, 6564713536.8, 42.1911051205
43, 1.91857336155, 4.99733171307e+12, 9995964238.9, 41.7765600481
44, 1.89702107455, 6.37875785993e+17, 1.27575157333e+15, 41.6295916063
45, 1.87411449549, 73689570438.2, 153672667.421, 43.4141923916
46, 1.85139729607, 3.11046136005e+11, 625306655.924, 42.5831892601
47, 1.83277950992, 2.39559489498e+11, 479768737.738, 42.0782690473
48, 1.82830706581, 1.71163862211e+12, 3428339715.3, 41.6725571543
49, 1.75119695363, 1.12475071712e+13, 22501654546.2, 39.7380414494
50, 1.74689630956, 9.17845761993e+11, 1983639456.93, 41.0241744456
51, 1.74254323675, 4.8801349136e+14, 976034099811.0, 41.7312208566
52, 1.60276970413, 1.0631284412e+12, 2169164525.33, 41.8888596465
53, 1.54020726253, 1.28707944802e+19, 2.57415997813e+16, 41.2960060843
54, 1.40645571455, 1.95206937451e+13, 39102438122.8, 40.1401048016
55, 1.36302074679, 7.84064053597e+16, 1.56812816453e+14, 40.4228698958
56, 1.35028208788, 5.56727388441e+16, 1.11345586733e+14, 40.162370231
57, 1.34947662243, 1.15122461233e+11, 247792051.76, 40.7974628339
58, 1.325882566, 3.88547583417e+14, 778145409361.0, 40.9574194926
59, 1.32112684921, 2.15648681124e+12, 4335198373.55, 40.3860308695
60, 1.27633078263, 1.56726628118e+12, 3233821594.76, 40.0004584052
61, 1.25864893754, 9.08708180905e+12, 18236038364.4, 39.4660113475
62, 1.25685330126, 2.35823228892e+14, 471655313017.0, 39.9713650427
63, 1.25683695811, 1.94561140705e+15, 3.89148134491e+12, 40.8796807787
64, 1.24231360124, 2.58559466612e+11, 529042221.135, 40.8744853055
65, 1.24178722808, 6.15574003968e+15, 1.23114848519e+13, 41.1344206622
66, 1.22917131869, 1.56996493269e+15, 3.1399370024e+12, 41.5202415176
67, 1.22913331396, 1.32020377853e+13, 26441100512.7, 40.7191595032
68, 1.2271634988, 8.103606273e+13, 162372488365.0, 40.0299019385
69, 1.22712003686, 34839305159.1, 74632355.2354, 40.5458919399
70, 1.22707705516, 1.88624302904e+17, 3.77248906336e+14, 40.2602623847
71, 1.22290681443, 1.62254612178e+15, 3.24509720859e+12, 40.6195013577
72, 1.22256090311, 4.62111135159e+16, 9.24226906534e+13, 40.8913708269
73, 1.22231723341, 37660357686.3, 81075115.6919, 39.7257428297
74, 1.22227215592, 3.64156033923e+16, 7.28312265341e+13, 40.9866301379
75, 1.22146005971, 45920724282.3, 96194455.2562, 39.139182419
76, 1.22141912913, 1.09024772287e+11, 220780269.951, 39.8969738072
77, 1.22090522658, 76400428788.4, 155620095.944, 39.9940733873
78, 1.08888143563, 6.10656071232e+11, 1225544320.45, 39.9991594129
79, 1.01768083931, 1.13892883346e+14, 227816195249.0, 39.5458754853
