File: ../datasets/SR_div_noise.txt
N_vars: 1 N_gens: 100 Pop_size: 500 XP: 0.9 MP: 0.05 TS: 20 MAX_D: 6 MIN_D: 1
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 8.55532, 345565614.73647, 1046712.99070, 69.620%
2, 7.72146, 29240393636276.67188, 58480944018.38179, 28.027%
3, 3.80714, 75869259243.74637, 152235231.13521, 25.000%
4, 3.80714, 2367918016.49687, 5143058.09613, 33.111%
5, 2.19604, 2351141923.34522, 7205054.90512, 25.463%
6, 2.19604, 169161487.42631, 1106860.01895, 34.565%
7, 2.19604, 16459636415.55719, 36652267.01630, 34.081%
8, 2.19604, 1166293182.67755, 2441449.65828, 39.565%
9, 2.19604, 76517310.72058, 167996.73272, 67.411%
10, 2.19604, 18896326.72997, 80051.65077, 61.674%
11, 2.19604, 11129715.61814, 30282.46765, 64.474%
12, 2.19604, 19110270.86028, 55913.27631, 57.919%
13, 2.19604, 14518734535.48940, 32670856.10454, 60.731%
14, 2.19604, 274003896.72101, 576559.28543, 55.505%
15, 2.19604, 2376247.86289, 8725.00475, 61.674%
16, 2.19604, 28352650.23598, 62129.44848, 57.399%
17, 2.19604, 38829075.98088, 130617.58439, 51.982%
18, 2.19604, 1529234.53496, 6953.30397, 54.260%
19, 2.19604, 117478929.38101, 256327.91064, 54.505%
20, 2.19604, 21118257.26427, 88762.53200, 59.009%
21, 2.19604, 520964529.05238, 1718987.26444, 62.389%
22, 2.19604, 1614552592.94500, 3270550.14885, 60.909%
23, 2.19604, 74004588.69411, 159030.69143, 54.310%
24, 2.19604, 2042527192.20576, 6518386.18688, 58.079%
25, 2.19604, 4409547.68667, 18206.09852, 60.987%
26, 2.19604, 8692206.30191, 32302.69802, 62.332%
27, 2.19604, 19571705.05039, 55824.29825, 59.276%
28, 2.19604, 727481905.78722, 1461582.91153, 55.752%
29, 2.19604, 95679084.46742, 220897.06675, 63.043%
30, 2.19604, 34571379.40140, 127358.15615, 60.088%
31, 2.19604, 207848704.48460, 506928.43312, 58.850%
32, 2.19604, 265129099.63124, 571149.39500, 63.964%
33, 2.19604, 4974144.18772, 25382.31925, 61.086%
34, 2.19604, 65313963.92172, 179031.45801, 61.947%
35, 2.19604, 23636019.48133, 103548.22265, 63.717%
36, 2.19604, 2496812.93795, 14728.30533, 65.471%
37, 2.19604, 5605110709.25933, 11459151.47619, 56.710%
38, 2.19604, 189759807.01930, 515307.84263, 56.306%
39, 2.19604, 6355996.40677, 14512.04989, 57.080%
40, 2.19604, 3022735.41645, 10391.80700, 54.338%
41, 2.19604, 97752179.43345, 348235.40298, 63.927%
42, 2.19604, 3606216411.79196, 7235576.46069, 56.109%
43, 2.19604, 5728269.94838, 20644.61785, 71.622%
44, 2.19604, 1409997513.99144, 2898616.14233, 62.054%
