File: ../datasets/yacht_hydrodynamics.txt
N_vars: 6 N_gens: 100 Pop_size: 350 XP: 0.7 MP: 0.2 TS: 30 MAX_D: 2 MIN_D: 1
[GEN], [BEST_FIT], [WORST_FIT], [AVG_FIT], [% BETTER CHILDREN]
1, 2529.36287, 48249.54066, 4026.24990, 0.000%
2, 2528.81060, 569736.13278, 5065.00134, 26.190%
3, 2505.73290, 119094.89291, 4563.04450, 22.481%
4, 2505.73290, 159933.68558, 4688.55711, 24.590%
5, 2505.73290, 51113.73250, 3259.34909, 25.620%
6, 2485.98940, 87825.22180, 4450.70235, 48.819%
7, 2485.98940, 57997.89399, 3458.61840, 46.124%
8, 2485.98940, 104187.50036, 3993.40747, 40.909%
9, 2485.98940, 692865.34399, 5228.37521, 39.286%
10, 2485.98940, 59861.79162, 3706.44555, 40.800%
11, 2485.98940, 26838.30377, 3217.76346, 39.516%
12, 2485.98940, 46937.05061, 3343.14108, 35.088%
13, 2485.98940, 218120.08282, 3857.81987, 43.802%
14, 2485.98940, 21930.23226, 2980.84625, 43.609%
15, 2485.98940, 18107.61414, 3164.59262, 50.435%
16, 2485.98940, 28297.75125, 3456.61757, 39.683%
17, 2485.98940, 65459.45563, 3163.68981, 44.094%
18, 2485.98940, 73065.04266, 3410.23214, 47.727%
19, 2485.98940, 31197.59175, 3257.19011, 45.902%
20, 2485.98940, 24254.24631, 3108.18724, 48.413%
21, 2485.98940, 21627.20592, 3172.89667, 43.966%
22, 2485.98940, 204479.90641, 3710.07095, 35.043%
23, 2485.98940, 18107.61414, 3118.11529, 50.847%
24, 2485.98940, 27606.42967, 3252.31654, 43.307%
25, 2485.98940, 22486.82209, 3057.62680, 44.715%
26, 2485.98940, 105302.18185, 3600.16875, 43.939%
27, 2485.98940, 28863.71740, 3441.87724, 50.413%
28, 2485.98940, 21930.23226, 3164.26780, 34.328%
29, 2485.98940, 21930.23226, 3206.14519, 42.400%
30, 2485.98940, 69877.12207, 3367.50065, 47.059%
31, 2485.98940, 31467.07052, 3344.82799, 40.517%
32, 2485.98940, 21943.63815, 3072.97505, 44.737%
33, 2485.98940, 18107.61414, 3077.07761, 42.636%
34, 2485.98940, 60814.61805, 3528.68510, 46.610%
35, 2485.98940, 26838.30377, 3194.88180, 39.695%
36, 2485.98940, 50477.95272, 3204.99984, 53.153%
37, 2485.98940, 49559.70378, 3364.14525, 45.161%
38, 2485.98940, 52053.75441, 3406.55389, 38.525%
39, 2485.98940, 18107.61414, 3068.96538, 47.368%
40, 2485.98940, 1211474.01470, 6769.22962, 42.857%
41, 2485.98940, 18107.61414, 3142.93405, 35.156%
42, 2485.98940, 169401.46829, 4178.37969, 47.414%
43, 2485.98940, 24785.76624, 3400.63168, 45.614%
44, 2485.98940, 58068.07156, 3454.89144, 48.800%
45, 2485.98940, 15450982.63524, 48326.75791, 40.458%
46, 2485.98940, 74588.58334, 3219.59136, 40.000%
47, 2485.98940, 18107.61414, 3177.78044, 47.619%
48, 2485.98940, 143403.63445, 4124.72933, 38.462%
49, 2485.98940, 57333.29586, 3829.41793, 43.103%
50, 2485.98940, 3099803.94811, 12231.38280, 39.516%
51, 2485.98940, 52963.75694, 3282.31466, 43.939%
52, 2485.98940, 18107.61414, 3151.70250, 42.017%
53, 2485.98940, 70962.63830, 3529.67511, 49.580%
54, 2485.98940, 74665.73762, 3495.37342, 51.304%
55, 2485.98940, 287333.84404, 4521.37789, 45.600%
56, 2485.98940, 109920.87359, 3932.86787, 46.721%
57, 2485.98940, 53652.58073, 3240.10385, 41.129%
