
File: ../datasets/yacht_hydrodynamics.txtFinal results.
SEED: N_vars: 6 N_gens: 100 Pop_size: 500 XP: 0.6 MP: 0.3 TS: 20 MAX_D: 5 MIN_D: 1
ARITHMETIC MEAN OF ALL EXECUTIONS
GEN, BEST, WORST, AVG, %BETTER CHILDREN

1, 2495.72924638, 1.60737036959e+14, 321474655713.0, 0.0
2, 2317.61236367, 40194454421.9, 80548225.3738, 27.736984404
3, 2212.22798376, 1.21023487252e+15, 2.42046990082e+12, 26.6155739172
4, 1889.61399604, 4565379563.38, 9291640.5226, 22.0192564282
5, 1781.24869129, 1.55086785294e+16, 3.10173582896e+13, 22.9948554717
6, 1559.02405748, 140893334.127, 425422.344674, 21.6906909677
7, 1256.52120609, 369528220.35, 854245.689422, 20.5785480718
8, 1176.16358028, 5.58219824016e+17, 1.11643964833e+15, 19.6384198858
9, 1099.31590434, 144356098.132, 416648.898528, 21.9780614012
10, 1043.47949551, 571444675.978, 1949219.24268, 19.9486975946
11, 964.209001772, 5.81635270195e+15, 1.16327056804e+13, 18.3330140791
12, 951.896313981, 136968699.738, 483599.409425, 19.1020862654
13, 914.495317181, 1798049430.33, 3931247.82137, 17.2286428006
14, 889.938922463, 153615606.425, 430929.319716, 18.6055050284
15, 862.103723323, 85190997.7094, 289517.529653, 18.9254957153
16, 842.232712044, 8.17611786746e+18, 1.63522357352e+16, 18.4445917514
17, 815.511074702, 184067973.497, 559388.619897, 18.7493495683
18, 799.738747766, 3009267669.83, 6212045.27857, 18.6104756463
19, 788.121170023, 1.9303759167e+15, 3.86075191775e+12, 17.9864594848
20, 780.993028029, 2.2559995056e+14, 451200036468.0, 20.2138374272
21, 770.632256307, 2598308175.89, 6050000.87819, 20.9238460744
22, 761.78940974, 3.0127503484e+17, 6.02550070308e+14, 23.8969730016
23, 744.382624245, 158753960.979, 526989.133843, 21.4862750732
24, 726.177092612, 293975163.785, 909605.169579, 21.4257523307
25, 714.078818802, 296816087.301, 723668.474785, 20.5892506806
26, 695.156714768, 1315167714.61, 2902633.79217, 22.3633019378
27, 689.627859476, 5.63037488118e+16, 1.12607497859e+14, 18.3669468767
28, 687.924805657, 72139757.3073, 237558.235929, 18.0746504171
29, 685.021542785, 839890432.794, 1989813.98769, 18.4060116361
30, 682.68242055, 1385342564.71, 3079738.11773, 17.2938069423
31, 679.18713337, 252301298.503, 784839.963225, 21.6150559457
32, 672.830645389, 1859455107.77, 3863688.22805, 21.0515566258
33, 659.495514681, 123998333.588, 406530.917526, 21.7300264591
34, 656.266596282, 238225252.206, 578779.767368, 22.603088551
35, 655.116919266, 738114238.966, 1639761.72259, 21.2590216444
36, 650.243433461, 279285104.975, 775758.729866, 20.3940970064
